"Symbol","Outcome","Risk","PlannedRR","CostR","GrossR","NetR","HoldBars"
"USDCAD","loss","0.00039839999999991","2","0.597690763051529","-1","-1.59769076305264","1"
"USDCAD","win","0.000249600000000072","2","0.901442307691726","2","1.09855769230827","1"
"USDCAD","loss","0.000323999999999991","2","0.704320987654377","-1","-1.70432098765438","1"
"USDCAD","loss","0.000160799999999961","2.00000000000138","1.39925373134312","-1","-2.39925373134312","1"
"USDCAD","loss","0.000573600000000063","2","0.4558577405854","-1","-1.4558577405854","1"
"USDCAD","win","0.000254399999999988","2","0.884433962263877","2","1.11556603773612","1"
"USDCAD","win","0.000268799999999958","2.00000000000083","0.837053571428404","2.00000000000083","1.16294642857242","13"
"USDCAD","loss","0.000160799999999961","2","1.39925373134312","-1","-2.39925373134312","21"
"USDCAD","loss","0.000244800000000156","1.99999999999909","0.91911764705791","-1","-1.91911764705791","1"
"USDCAD","loss","0.000280800000000081","2.00000000000079","0.801282051281534","-1","-1.80128205128153","1"
"USDCAD","loss","0.000105599999999928","2.0000000000021","2.13068181818251","-1","-3.13068181818251","1"
"USDCAD","win","0.000199199999999955","2","1.12951807228901","2","0.870481927710991","1"
"USDCAD","loss","0.000223199999999979","2","1.00806451612877","-1","-2.00806451612877","1"
"USDCAD","loss","0.000194400000000039","1.99999999999886","1.15740740740676","-1","-2.15740740740676","1"
"USDCAD","loss","0.00020639999999994","2.00000000000108","1.0901162790697","-1","-2.09011627906969","3"
"USDCAD","loss","0.000204000000000093","1.99999999999891","1.10294117646969","-1","-2.10294117647089","1"
"USDCAD","win","0.000256800000000057","2","0.876168224298558","2","1.12383177570144","1"
"USDCAD","loss","0.000184799999999985","2","1.21753246753213","-1","-2.21753246753213","1"
"USDCAD","loss","0.00039839999999991","2.00000000000056","0.597690763052644","-1","-1.59769076305264","23"
"USDCAD","loss","0.000275999999999943","2.0000000000008","0.815217391304225","-1","-1.81521739130423","19"
"USDCAD","win","0.000304800000000105","2","0.740288713910594","2","1.25971128608941","1"
"USDCAD","win","0.000595200000000018","1.99999999999963","0.444153225806563","1.99999999999963","1.55584677419306","1"
"USDCAD","loss","0.000261599999999973","2","0.860091743119048","-1","-1.86009174311905","1"
"USDCHF","loss","0.000168000000000057","1.99999999999934","1.28571428571381","-1","-2.28571428571381","9"
"USDCHF","win","0.000160799999999961","2","1.34328358208984","2","0.656716417910159","1"
"USDCHF","loss","0.000506400000000018","2","0.480884676145207","-1","-1.48088467614521","1"
"USDCHF","loss","0.000396000000000063","2","0.577777777777479","-1","-1.57777777777748","1"
"USDCHF","loss","0.000232800000000033","2","0.927835051546234","-1","-1.92783505154623","1"
"USDCHF","loss","0.000211199999999967","2.00000000000053","1.0227272727274","-1","-2.0227272727274","4"
"USDCHF","win","0.000530400000000042","1.99999999999979","0.465158371040751","1.99999999999979","1.53484162895904","1"
"USDCHF","loss","0.000333600000000045","2","0.660911270983359","-1","-1.66091127098336","1"
"USDCHF","win","0.00016320000000003","1.99999999999932","1.32352941176443","1.99999999999932","0.676470588234894","5"
"USDCHF","win","0.000247200000000003","2","0.873786407766955","2","1.12621359223304","1"
"USDCHF","win","0.000187200000000054","2","1.15384615384579","2","0.846153846154211","2"
"USDCHF","win","0.000139200000000006","2","1.55172413793092","2","0.448275862069075","1"
